"CODE","en","hu"
"Font_sample","abcdefghijklmnopqrstuvwxyz 
ABCDEFGHIJKLMNOPQRSTUVWXYZ
0123456789
.,:?-_+!%/=()","ÁRVÍZTŰRŐ TÜKÖRFÚRÓGÉP 
árvíztűrő tükörfúrógép"
"***** MENU *****",,
"New_Game","New Game","Új játék"
"Settings","Settings","Beállítások"
"Highscores","Highscores","Rekordok"
"Quit","Quit","Kilépés"
"Back","Back","Vissza"
"Quit_confirm","Do you want to really quit?","Tényleg ki akarsz lépni?"
"Music_volume","Music volume","Zene hangerő"
"Sfx_volume","Sound effects volume","Effektusok hangerő"
"Menu_language","Language","Nyelv"
"Back_to_menu","Back to Menu","Vissza a Főmenübe"
"View_statistics","View statistic","Statisztika megtekintése"
"End_text","Thanks for playing the Demo.
Please feel free to give any feedback on the game.","Köszönöm, hogy játszottál a Demoval.
Kérlek küldj visszajelzést a játékkal kapcsolatban."
"***** PLAYER SHEET *****",,
"Player_sheet_title","Player Sheet","Karakterlap"
"Health_label","Health","Életerő"
"Attack_charge_label","Attack charge","Támadási energia"
"Utility_charge_label","Utility charge","Támogatói energia"
"Level_label","Level","Szint"
"XP_label","XP","TP"
"Damage_label","Damage","Sebzés"
"Speed_label","Move speed","Mozgási sebesség"
"Defense_label","Defense","Védelem"
"Crit_label","Crit chance","Kritikus ütés esély"
"Lifesteal_label","Lifesteal","Életszívás"
"Available_talent_label","Available talent points","Elérhető tehetség pontok"
"Coins_hint","Coins","Érmék"
"Symbols_hint","Divine symbols","Isteni medálok"
"Keyring_hint","Key ring","Kulcstartó"
"Red_key_hint","Red key","Piros kulcs"
"Red_key_pickup","red","piros"
"Blue_key_hint","Blue key","Kék kulcs"
"Blue_key_pickup","blue","kék"
"Green_key_hint","Green key","Zöld kulcs"
"Green_key_pickup","green","zöld"
"Yellow_key_hint","Yellow key","Sárga kulcs"
"Yellow_key_pickup","yellow","sárga"
"Purple_key_hint","Purple key","Lila kulcs"
"Purple_key_pickup","purple","lila"
"No_key_pickup","no","nincs"
"Key_pickup","key","kulcs"
"Coins_pickup","coins","érmék"
"Item_pickup","item","tárgy"
"Divine_symbol_pickup","divine symbol","isteni medál"
"Health_potion_pickup","health potion","gyógyító főzet"
"Restoration_potion_pickup","restoration potion","regeneráló főzet"
"Speed_potion_pickup","speed potion","gyorsítő főzet"
"***** ITEMS *****",,
"Item_helm_of_horns_name","Helm of Horns","Felszarvalt sisak"
"Item_helm_of_horns_desc","This horny cap is ready for some action if you want to.
Lifesteal: +{0}%
Defense: -{1}","Ez a felszarvazott sisak bevethető bármilyen akcióban.
Életszívás: +{0}%
Védelem: -{1}"
"Item_cane_of_wisdom_name","Cane of Wisdom","Bölcsesség pálcája"
"Item_cane_of_wisdom_desc","This short staff is making you think like a wizard.
Total utility charges: +{0}
Damage: -{1}","Ez a rövid bot mágus módjára gondolkodtat el.
Maximális támogatói energia: +{0}
Sebzés: -{1}"
"Item_ring_of_erityc_name","Ring of Erityc","Erityc gyűrűje"
"Item_ring_of_erityc_desc","This ring was thought to be unobtainable.
Health: +{0}
Attack charge max gain: -{1}","Ezt a gyűrűt mindig is megtalálhatatlannak gondolták.
Életerő: +{0}
Maximális támadási energia: -{1}"
"Item_ring_of_sorrow_name","Ring of Sorrow","Bánalom gyűrűje"
"Item_ring_of_sorrow_desc","This ring brings great sadness.
Crit chance: +{0}%
Damage: -{1}","Ez a gyűrű nagy szomorúságot hoz.
Kritikus találalt esély: +{0}%
Sebzés: -{1}"
"Item_robe_of_voices_name","Robe of Voices","Hangok csuhája"
"Item_robe_of_voices_desc","This robe is woven of soft fabric that ripples in a way that almost sound as soft voices speaking.
Corruption resistance: +{0}%
Move speed: -{1}","A finom anyagból szőtt ruha lengése olyan halk suttogás szerű hangot hallat.
Rontás elleni védelem: +{0}%
Mozgási sebesség: -{1}"
"Item_saber_of_many_edges_name","Saber of many edges","Sokpengés szablya"
"Item_saber_of_many_edges_desc","This saber is a potent and sharp weapon for those who know how to use it.
Lifesteal: +{0}%
Speed: -{1}","Ez a kard egy erős és éles fegyver azok számára, akik tudják, hogyan kell használni.
Életszívás: +{0}%
Mozgási sebesség: -{1}"
"Item_sword_of_misery_name","Sword of Misery","Nyomorúság kardja"
"Item_sword_of_misery_desc","This light blade has caused a lot of suffering on either end of it.
Damage: +{0}
Crit chance: -{1}%","Ez a könnyű penge mindkét végén sok szenvedést okozott.
Sebzés: +{0}
Kritikus találat esélye: -{1}%"
"***** BATTLE ACTIONS *****","*****","*****"
"Battle_act_defend_hint","Defend [{0}]
Harden yourself for incoming attacks.
Gives a buff for {1} turns, that increase Defense by {2}.","Védekezés [{0}]
Megfeszíted magad és felkészülsz a támadásokra.
Ad egy áldást {1} körre, amely növeli a Védelmet ennyivel: {2}"
"Battle_act_defend_hint_blockedheal","
Heal for {0}% of blocked damage.","A kivédett sebzés {0}%-ának megfelelően gyógyulsz."
"Battle_act_heavy_hint","Heavy Attack [{0}]
A charged up heavy attack.
Cost: {1}
Damage modifier: {2}
Charge gain: {3} attack","Erős ütés [{0}]
Egy jól meglendített erős ütés.
Költség: {1}
Sebzés módosító: {2}
Támadási energiát kapsz: {3}"
"Battle_act_interrupt_hint","Interrupt [{0}]
Interrupt the enemy stunning it for 2 rounds and angering it.
Cost: {1}
Increase enemy utility charge by: {2}","Megszakítás [{0}]
Megszakítod az ellenfeled, elkábítva 2 körig, de ezzel biztosan fel is bosszantod.
Költség: {1}
Ellenség támogatói energiájának növelésének mértéke: {2}"
"Battle_act_light_hint","Light Attack [{0}]
A light attack.
Damage: {1}
Crit chance: {2}%
Charge gain: {3} attack","Könnyű ütés [{0}]
Egy gyors ütés.
Sebzés: {1}
Kritikus találat esélye: {2}
Támadási energiát kapsz: {3}"
"Battle_act_run_hint","Escape from battle","Menekülés a csatából"
"Battle_act_wait_hint","Wait [{0}]
Wait a turn and gain charge.
Charge gain: {1} attack, {2} utility","Várakozás [{0}]
Vársz egy kört és energiát gyűjtessz.
Támadási energiát kapsz: {1}
Támogatói energiát kapsz: {2}"
"***** TALENTS *****","*****","*****"
"Talent_picker_title","Pick a talent!","Válassz tehetséget!"
"Talent_power_label","Potential max talent power","Tehetség potenciális erőssége"
"Talent_def_hp_name","Guards up!","Védekezz!"
"Talent_def_hp_hint","defense: +{0}
total health: -{1}","védelem: +{0}
maximum életerő: -{1}"
"Talent_defend_heal_name","Healthy blocking","Életerős védelem"
"Talent_defend_heal_hint","Modifies action: Defend
Heal for {0}% of blocked damage.
Decrease defense: -{1}","Vonatkozó képesség: Védekezés
A kivédett sebzés {0}%-át gyógyítja.
Bónusz védelem csökkentése: -{1}"
"Talent_defend_lengthen_name","Lasting Defense","Kitartó védelem"
"Talent_defend_lengthen_hint","Modifies action: Defend
Buff lasts {0} more turns.
Cost increase: {1}","Vonatkozó képesség: Védekezés
A hatás {0} körrel tovább tart.
Költség drágul: {1}"
"Talent_heavy_cheap_name","Cheap Heavy","Olcsó erős"
"Talent_heavy_cheap_hint","Modifies action: Heavy attack
cost: -{0}
damage modifier: {1}%","Vonatkozó képesség: Erős ütés
Költség: -{0}
Sebzés módosító: {1}%"
"Talent_hp_dmg_name","Healthy but weak","Életerős, de gyenge"
"Talent_hp_dmg_hint","health: +{0}
damage: -{1}","Élet: +{0}
Sebzés: -{1}"
"Talent_interrupt_armor_breaker_name","Armor breaker","Páncéltörő"
"Talent_interrupt_armor_breaker_hint","Modifies action: Interrupt
action gains armor shredding: -{0}","Vonatkozó képesség: Megszakítás
A képesség páncélcsökkentő hatással bír: -{0}"
"Talent_interrupt_damage_name","Delayed penetration","Késleltetett döfés"
"Talent_interrupt_damage_hint","Modifies action: Interrupt
Create a buff on target for {0} turns.
If target receives at least {1} damage it takes an additional {2} damage.
Otherwise the target gains {3} defense.","Vonatkozó képesség: Megszakítás
Egy hatást helyez a célpontra {0} körig.
Ha a célpont legalább {1} sebzést szenved el, akkor további {2} sebzést sérül.
Ellenkező esetben a célpont védelme megnő ennyivel: {3}."
"Talent_light_crit_name","Light crit","Könnyed kritikusság"
"Talent_light_crit_hint","Modifies action: Light attack
crit increase: +{0}%
charge gain decrease: -{1}","Vonatkozó képesség: Könnyű ütés
Kritikus esély: +{0}%
Energia töltés: -{1}"
"Talent_light_rng_name","Hit by chance","Esélyalapú ütés"
"Talent_light_rng_hint","Modifies action: Light attack
{0}% chance: damage x{1}
{2}% chance: damage x{3}","Vonatkozó képesség: Könnyű ütés
{0}% esély: sebzés x{1}
{2}% esély: sebzés x{3}"
"Talent_st_atk_chrg_name","Tense muscles","Megfeszült izmok"
"Talent_st_atk_chrg_hint","Max attack charge: +{0}","Maximális támadási energia: +{0}"
"Talent_st_crit_name","Lucky day","Szerencsés nap"
"Talent_st_crit_hint","Crit chance: +{0}%","Kritikus esély: +{0}%"
"Talent_st_life_name","Empowered life","Felerősített élet"
"Talent_st_life_hint","Total health: +{0}","Maximális életerő: +{0}"
"Talent_st_lifesteal_name","Leeching essence","Szívóhatás"
"Talent_st_lifesteal_hint","Lifesteal: +{0}%","Életszívás: +{0}%"
"Talent_st_speed_name","Sure foot","Biztos támasz"
"Talent_st_speed_hint","Speed: +{0}","Gyorsaság: +{0}"
"Talent_st_util_chrg_name","Third Eye","Harmadik szem"
"Talent_st_util_chrg_hint","Max Utility charge: +{0}","Maximális támogatói energia: +{0}"
"Talent_wait_charge_name","Tip of balance","Egyensúly"
"Talent_wait_charge_hint","Modifies action: Wait
attack charge gain: +{0}
utility charge gain: -{1}","Vonatkozó képesség: Várakozás
Támadási energia töltés: +{0}
Támogatói energia töltés: -{1}"
"Talent_wait_lifesteal_name","Worth the wait","Megéri várakozni"
"Talent_wait_lifesteal_hint","Modifies action: Wait
lifesteal buff (1rnd): +{0}%
charge gain decrease: -{1}","Vonatkozó képesség: Várakozás
Életszívás hatás (1 kör): +{0}%
Energia töltés: -{1}"
"Talent_wait_more_name","Cannot wait more","Nem lehet többet várni"
"Talent_wait_more_hint","Modifies action: Wait
All charge gain: x{0}
Cannot use for turns: {1}","Vonatkozó képesség: Várakozás
Energia töltés: x{0}
Nem lehet használni a képességet {1} körig."
"Talent_wait_pick_name","Delay","Késleltetés"
"Talent_wait_pick_hint","Delay the choice so maybe you can get stronger, later.","Hagyd későbbre a választást, hogy később még erősebb lehess."
"***** BUFFS *****",,
"Buff_frenzy_hint","A raging frenzy affects the damage according to unspent attack charge, but weakens damage based on unspent utility charge.","A tomboló őrület hatással van a sebzésre az elérhető támadási energia szint alapján, de csökkenti a sebzést az elérhető támogatói energia alaőján."
"Buff_fire_hint","Ignited: lowers defense and take DoT each turn",
"Buff_corruption_hint","Corruption: significant DoT each turn",
"Buff_acid_hint","Acid spit: lowers defense and take DoT each turn",
"Buff_stun_hint","Stun: cannot take action",
"Buff_lifesteal_hint","Lifesteal: dealing damage heals a portion of it",
"Buff_armor_shred_hint","Armor shred: defense reduced",
"Buff_int_dmg_delay_hint","Delayed penetration: Deal enough damage",
"Buff_defend_hint","Increase Defense",
"Buff_crit_bleed_hint","Critical Bleed: small DoT damage,\n increase critical chance and critical damage for attacker",
"Buff_water_tentacle_squeeze_hint","You are being squeezed, you cannot breathe. You have to relax somehow ...",
"***** VENDOR *****",,
"Vendor_title","Shop: {0}","Árus: {0}"
